Timestamp,Equipment,Target,Current_Value,Valve_Pos
2026-05-06 17:06:44.931,Water Tank (Level %),60.0,7.64,100
2026-05-06 17:06:46.098,Water Tank (Level %),60.0,15.28,100
2026-05-06 17:06:47.338,Water Tank (Level %),60.0,22.92,100
2026-05-06 17:06:48.583,Water Tank (Level %),60.0,30.56,100
2026-05-06 17:06:50.088,Water Tank (Level %),60.0,38.2,100
2026-05-06 17:06:51.235,Water Tank (Level %),60.0,45.84,100
2026-05-06 17:06:52.428,Water Tank (Level %),60.0,53.48,100
2026-05-06 17:06:53.549,Water Tank (Level %),60.0,61.12,100
2026-05-06 17:06:54.689,Water Tank (Level %),60.0,68.75,100
2026-05-06 17:06:55.975,Water Tank (Level %),60.0,76.39,100
2026-05-06 17:06:57.101,Water Tank (Level %),60.0,84.03,100
2026-05-06 17:06:58.260,Water Tank (Level %),60.0,91.67,100
2026-05-06 17:06:59.383,Water Tank (Level %),60.0,99.31,100
2026-05-06 17:07:00.508,Water Tank (Level %),60.0,100.0,100
2026-05-06 17:07:01.650,Water Tank (Level %),60.0,100.0,100
2026-05-06 17:07:02.781,Water Tank (Level %),60.0,100.0,100
2026-05-06 17:07:03.906,Water Tank (Level %),60.0,100.0,57.84
2026-05-06 17:07:05.030,Water Tank (Level %),60.0,98.09,0
2026-05-06 17:07:06.152,Water Tank (Level %),60.0,96.18,0
2026-05-06 17:07:07.275,Water Tank (Level %),60.0,94.27,0
2026-05-06 17:07:08.455,Water Tank (Level %),60.0,92.36,0
2026-05-06 17:07:09.593,Water Tank (Level %),60.0,90.45,0
2026-05-06 17:07:10.718,Water Tank (Level %),60.0,88.54,0
2026-05-06 17:07:11.843,Water Tank (Level %),60.0,86.63,0
2026-05-06 17:07:12.977,Water Tank (Level %),60.0,84.72,0
2026-05-06 17:07:14.104,Water Tank (Level %),60.0,82.81,0
2026-05-06 17:07:15.224,Water Tank (Level %),60.0,80.9,0
2026-05-06 17:07:16.360,Water Tank (Level %),60.0,78.99,0
2026-05-06 17:07:17.483,Water Tank (Level %),60.0,77.08,0
2026-05-06 17:07:18.605,Water Tank (Level %),60.0,75.17,0
2026-05-06 17:07:19.729,Water Tank (Level %),60.0,73.26,0
2026-05-06 17:07:20.851,Water Tank (Level %),60.0,71.35,0
2026-05-06 17:07:21.978,Water Tank (Level %),60.0,69.44,0
2026-05-06 17:07:23.107,Water Tank (Level %),60.0,67.53,0
2026-05-06 17:07:24.233,Water Tank (Level %),60.0,65.62,0
2026-05-06 17:07:25.358,Water Tank (Level %),60.0,63.71,0
2026-05-06 17:07:26.554,Water Tank (Level %),60.0,61.8,0
2026-05-06 17:07:27.677,Water Tank (Level %),60.0,59.89,0
2026-05-06 17:07:28.801,Water Tank (Level %),60.0,57.98,0
2026-05-06 17:07:29.984,Water Tank (Level %),60.0,56.07,0
2026-05-06 17:07:31.114,Water Tank (Level %),60.0,54.16,0
2026-05-06 17:07:32.241,Water Tank (Level %),60.0,52.25,0
2026-05-06 17:07:33.363,Water Tank (Level %),60.0,50.34,0
2026-05-06 17:07:34.486,Water Tank (Level %),60.0,48.43,0
2026-05-06 17:07:35.609,Water Tank (Level %),60.0,46.52,0
2026-05-06 17:07:36.731,Water Tank (Level %),60.0,44.61,0
2026-05-06 17:07:37.863,Water Tank (Level %),60.0,42.7,0
2026-05-06 17:07:39.057,Water Tank (Level %),60.0,40.79,0
2026-05-06 17:07:40.205,Water Tank (Level %),60.0,48.43,100
2026-05-06 17:07:41.337,Water Tank (Level %),60.0,56.07,100
2026-05-06 17:07:42.476,Water Tank (Level %),60.0,63.71,100
2026-05-06 17:07:43.694,Water Tank (Level %),60.0,71.35,100
2026-05-06 17:07:44.825,Water Tank (Level %),60.0,78.99,100
2026-05-06 17:07:45.973,Water Tank (Level %),60.0,86.63,100
2026-05-06 17:07:47.123,Water Tank (Level %),60.0,94.27,100
2026-05-06 17:07:48.248,Water Tank (Level %),60.0,92.36,0
2026-05-06 17:07:49.376,Water Tank (Level %),60.0,90.45,0
2026-05-06 17:07:50.498,Water Tank (Level %),60.0,88.54,0
2026-05-06 17:07:51.627,Water Tank (Level %),60.0,86.63,0
2026-05-06 17:07:52.842,Water Tank (Level %),60.0,84.72,0
2026-05-06 17:07:54.051,Water Tank (Level %),60.0,82.81,0
2026-05-06 17:07:55.197,Water Tank (Level %),60.0,80.9,0
2026-05-06 17:07:56.331,Water Tank (Level %),60.0,78.99,0
2026-05-06 17:07:57.501,Water Tank (Level %),60.0,77.08,0
2026-05-06 17:07:58.690,Water Tank (Level %),60.0,75.17,0
2026-05-06 17:07:59.820,Water Tank (Level %),60.0,73.26,0
2026-05-06 17:08:00.944,Water Tank (Level %),60.0,71.35,0
2026-05-06 17:08:02.116,Water Tank (Level %),60.0,69.44,0
2026-05-06 17:08:03.287,Water Tank (Level %),60.0,67.53,0
2026-05-06 17:08:04.419,Water Tank (Level %),60.0,65.62,0
2026-05-06 17:08:05.545,Water Tank (Level %),60.0,63.71,0
2026-05-06 17:08:06.736,Water Tank (Level %),60.0,61.8,0
2026-05-06 17:08:07.870,Water Tank (Level %),60.0,59.89,0
2026-05-06 17:08:08.999,Water Tank (Level %),60.0,57.98,0
2026-05-06 17:08:10.130,Water Tank (Level %),60.0,56.07,0
2026-05-06 17:08:11.256,Water Tank (Level %),60.0,54.16,0
2026-05-06 17:08:12.390,Water Tank (Level %),60.0,52.25,0
2026-05-06 17:08:13.538,Water Tank (Level %),60.0,50.34,0
2026-05-06 17:08:14.671,Water Tank (Level %),60.0,48.43,0
2026-05-06 17:08:15.809,Water Tank (Level %),60.0,46.52,0
2026-05-06 17:08:16.935,Water Tank (Level %),60.0,44.61,0
2026-05-06 17:08:18.062,Water Tank (Level %),60.0,42.7,0
2026-05-06 17:08:19.382,Water Tank (Level %),60.0,40.79,0
2026-05-06 17:08:20.502,Water Tank (Level %),60.0,48.43,100
2026-05-06 17:08:21.622,Water Tank (Level %),60.0,56.07,100
