Timestamp,Equipment,Target,Current_Value,Valve_Pos
2026-05-04 20:34:18.898,Water Tank (Level %),50.0,7.64,100
2026-05-04 20:34:20.043,Water Tank (Level %),50.0,15.28,100
2026-05-04 20:34:21.182,Water Tank (Level %),50.0,22.92,100
2026-05-04 20:34:22.314,Water Tank (Level %),50.0,30.56,100
2026-05-04 20:34:23.447,Water Tank (Level %),50.0,38.2,100
2026-05-04 20:34:24.597,Water Tank (Level %),50.0,45.84,100
2026-05-04 20:34:25.740,Water Tank (Level %),50.0,53.48,100
2026-05-04 20:34:26.913,Water Tank (Level %),50.0,61.12,100
2026-05-04 20:34:28.082,Water Tank (Level %),50.0,68.75,100
2026-05-04 20:34:29.222,Water Tank (Level %),50.0,76.39,100
2026-05-04 20:34:30.422,Water Tank (Level %),50.0,84.03,100
2026-05-04 20:34:31.560,Water Tank (Level %),50.0,91.67,100
2026-05-04 20:34:32.708,Water Tank (Level %),50.0,99.31,100
2026-05-04 20:34:33.850,Water Tank (Level %),50.0,97.4,0
2026-05-04 20:34:35.009,Water Tank (Level %),50.0,95.49,0
2026-05-04 20:34:36.129,Water Tank (Level %),50.0,93.58,0
2026-05-04 20:34:37.274,Water Tank (Level %),50.0,91.67,0
2026-05-04 20:34:38.437,Water Tank (Level %),50.0,89.76,0
2026-05-04 20:34:39.570,Water Tank (Level %),50.0,87.85,0
2026-05-04 20:34:40.724,Water Tank (Level %),50.0,85.94,0
2026-05-04 20:34:41.854,Water Tank (Level %),50.0,84.03,0
2026-05-04 20:34:42.988,Water Tank (Level %),50.0,82.12,0
2026-05-04 20:34:44.114,Water Tank (Level %),50.0,80.21,0
2026-05-04 20:34:45.262,Water Tank (Level %),50.0,78.3,0
2026-05-04 20:34:46.417,Water Tank (Level %),50.0,76.39,0
2026-05-04 20:34:47.548,Water Tank (Level %),50.0,74.48,0
2026-05-04 20:34:48.693,Water Tank (Level %),50.0,72.57,0
2026-05-04 20:34:49.824,Water Tank (Level %),50.0,70.66,0
2026-05-04 20:34:50.982,Water Tank (Level %),50.0,68.75,0
2026-05-04 20:34:52.113,Water Tank (Level %),50.0,66.85,0
2026-05-04 20:34:53.251,Water Tank (Level %),50.0,64.94,0
2026-05-04 20:34:54.382,Water Tank (Level %),50.0,63.03,0
2026-05-04 20:34:55.514,Water Tank (Level %),50.0,61.12,0
